Year,month,법무부_명수,법무부_전년대비,일본_명수,일본_전년대비,중국_명수,중국_전년대비,베트남_명수,베트남_전년대비,태국_명수,태국_전년대비,필리핀_명수,필리핀_전년대비,홍콩_명수,홍콩_전년대비,대만_명수,대만_전년대비,마카오_명수,마카오_전년대비,싱가폴_명수,싱가폴_전년대비,말레이시아_명수,말레이시아_전년대비,인도네시아_명수,인도네시아_전년대비,캄보디아_명수,캄보디아_전년대비,라오스_명수,라오스_전년대비,튀르키예_명수,튀르키예_전년대비,인도_명수,인도_전년대비,몽골_명수,몽골_전년대비,미얀마_명수,미얀마_전년대비,이스라엘_명수,이스라엘_전년대비,몰디브_명수,몰디브_전년대비,스리랑카_명수,스리랑카_전년대비,사이프러스_명수,사이프러스_전년대비,부탄_명수,부탄_전년대비,요르단_명수,요르단_전년대비,네팔_명수,네팔_전년대비,예멘_명수,예멘_전년대비
,4월,989018,0.157,190558,0.17153273452725673,372435,0.2566936945144604,45000,0.3520822065981612,76757,0.005422894043985696,41378,0.05785504282244669,59216,0.07456402997804272,16312,0.19222335915801783,13901,0.3227709582262822,32219,0.01381371932032725,16230,0.14030773554415793,24052,0.04184354154032747,28858,,,,,,14548,0.3505384329743779,,,961,0.4049707602339181,3669,0.3793233082706767,,,306,-0.049689440993788817,15,-,,,,,677,,65,
,5월,1107498,0.222,211355,0.31211199404022844,418467,0.31381038196123245,35698,0.31460136254833365,82439,0.03426255833793346,50686,0.2250096674400619,65183,0.23445637558472057,17487,0.2484472049689441,15983,0.4930406352171882,34408,0.005023951396191144,13222,0.04233346472211273,29589,0.20998609634415638,24837,,,,,,,,,,917,-0.1708860759493671,2630,0.21086556169429096,,,246,-0.344,30,2.3333333333333335,,,,,447,,151,
,6월,1064076,0.162,190330,0.23827306676382184,390621,0.263291171990466,40126,0.5529238747629552,77003,-0.008574849682627561,48538,0.1513354523459367,61598,0.18150954253380647,16673,0.011833960432091273,15325,0.462030146918527,38027,0.04679714812673769,12814,-0.06371474499488529,27530,0.21058880436216526,24413,,,,,,,,,,952,-0.5557629491367242,2677,0.4684585847504114,,,354,-0.019390581717451522,17,0.3076923076923077,,,,,533,,111,
,7월,1297398,0.181,254234,0.28646608171155036,448600,0.23267156694373842,33045,0.15809210065185392,91551,0.022196666033964918,62692,0.16331112801766534,77832,0.2920533209382626,15946,0.10261374636979671,17714,0.33047919483250715,46123,0.00958739192295064,21377,0.3546036372853431,31048,0.3246864066899906,21962,,,,,,21146,0.2566708266476496,,,1303,-0.543927196359818,1951,0.1449530516431925,,,456,-0.21514629948364888,19,-,,,,,1287,,185,
,8월,1308664,0.128,271377,0.23167311148630249,481518,0.1827247584285946,39469,0.04537027227460536,96102,-0.00020806891242379475,54640,0.15637764280121047,88813,0.3070345842531273,18648,0.12350885648873358,22680,0.4448620755558387,45910,0.023725638852963474,22118,0.17956375659964802,28685,0.11558355695562555,21741,,,,,,,,,,1031,-0.6669896640826873,2874,1.9507186858316221,,,354,-0.44427001569858715,0,-,,,,,999,,37,
,9월,1015650,0.09,201286,0.2865753494704412,361155,0.08075554584656267,37257,0.16384480819692615,70859,0.03950649884106446,43061,0.13554494870915845,66497,0.2841225088830527,17686,0.3600430636727161,17141,0.8389657762042699,30265,0.03240661777247143,14251,-0.04007813552472046,23566,0.05322905027932961,15211,,,,,,,,,,784,-0.1009174311926605,1160,0.08614232209737828,,,309,-0.24817518248175183,0,-1,,,,,873,,58,
,10월,1078092,0.095,222737,0.18729111252072217,414382,0.11628270333175295,31305,-0.04400537470225371,77173,-0.01004412745651393,49699,0.07204642032830733,67708,0.10223350914892232,15482,-0.0749835693373962,16824,0.4765666140073723,33383,-0.0468807994289793,13546,-0.04933679556460102,28718,0.1814703583329905,20239,,,,,,21653,0.0715593606176077,,,495,-0.5783645655877343,2208,0.23975294778214487,,,369,0.5905172413793104,25,-,,,,,863,,68,
,11월,1072557,0.086,218488,0.23232072555809993,379382,0.1388133446199473,38481,-0.02416696251965309,96597,-0.04255129348795718,63988,0.09497244943358774,81131,0.25843027764851867,21100,0.1878624106288352,20476,0.5273758018797553,43965,0.003973419195725149,28343,0.4300201816347124,32219,-0.019536836980006696,23226,,,,,,,,,,720,-0.4842406876790831,2344,0.3935790725326992,,,567,0.2857142857142857,11,0.10000000000000009,,,,,979,,49,
,12월,1081848,0.065,208893,0.131120111762094,358085,0.09293545275854913,43462,0.0007829050382241871,105849,0.04140061589319271,66912,0.09951360588931246,100323,0.2666565660391652,22959,0.2058298319327731,28642,0.5113714315867236,39701,0.09871589085072231,15983,-0.06684960298925735,28840,-0.006852853059678364,28111,,,,,,,,,,1364,-0.010877447425670761,1157,-0.04695222405271829,,,465,0.34782608695652173,0,-,,,,,1050,,120,
2008년,1월,1322909,0.032,271583,0.12994799251092157,426625,0.04,47209,-0.025453119194087773,118417,-0.06383802928248426,69522,-0.017120721586812326,101818,0.281729147259498,32744,0.33387648688284177,35580,0.3883794435556249,50432,0.07862092565660017,26216,-0.038,33112,-0.011611593683770634,36472,-0.2371151271753681,,,14478,,28809,0.05775444264943452,43396,-0.012155702253585199,2135,-0.11226611226611227,5692,0.15926680244399186,,,630,-0.16996047430830039,0,-,97,,14530,0.13418156271953796,2678,0.05102040816326525,117,-0.038
,2월,1132463,0.153,234876,0.16065525164924765,397565,0.137,47485,0.061781673449309064,99834,0.15491132885253867,56832,0.146291776760322,96445,0.501,28894,0.5548619706183071,33682,0.9946701409451617,40998,0.30301296720061033,26603,0.332,26154,0.15971975877970912,31197,-0.1003287576421733,,,9545,,,,,,1405,0.04228486646884266,6257,0.3824569155987627,,,402,0.015151515151515152,0,-,,,,,1416,0.12291831879460746,112,0.332
,3월,983589,-0.0603,187474,-0.006607637729770402,349458,-0.11,46737,-0.053274454595174915,85840,-0.1094234699700167,48793,-0.050793712551552406,72756,0.133,21292,0.04423737126042177,22418,0.36577750022303507,39683,-0.05676118941788877,21760,0.101,29470,0.09366881911972093,29867,-0.23076724959435446,,,9440,,,,,,1381,-0.10382868267358858,3413,-0.08498659517426274,,,312,0.07958477508650519,0,-1,,,,,1197,0.20180722891566272,126,0.101
,4월,1026750,0.038,203812,0.06955362671732492,368551,-0.010428665404701491,41475,-0.07833333333333334,76784,0.0003517594486496346,45382,0.09676639760259076,69794,0.179,21654,0.328,19164,0.0077,33946,0.05360191191532948,21229,0.308,23759,-0.012181939131880924,24810,-0.1402730611962021,,,13006,,15721,0.08062963981303262,,,753,-0.2164412070759626,4169,0.1362769146906514,,,402,0.3137254901960784,0,-1,,,,,607,-0.10339734121122601,32,0.308
,5월,1099977,-0.007,229043,0.08368858082373258,380551,-0.09060690568192951,38479,0.07790352400694717,78793,-0.04422664030373973,49476,-0.023872469715503275,86465,0.326,23256,0.33,26232,0.6467,36412,0.058242269239711764,22457,0.698,30802,0.04099496434485789,19870,-0.19998389499536984,,,12685,,,,,,583,-0.36423118865866955,3058,0.16273764258555132,,,288,0.17073170731707318,0,-1,,,,,639,0.4295302013422819,68,0.698
,6월,1004715,-0.056,195661,0.02800924709714706,304727,-0.21989089168273082,24221,-0.39637641429497084,77235,0.0030128696284560342,52711,0.08597387613828333,73435,0.192,23442,0.40598572542433886,21424,0.39797716150081563,35998,-0.053356825413521936,20348,0.587950678944904,29357,0.06636396658191064,18230,-0.2532667021668783,,,9711,,,,,,787,-0.1733193277310925,1899,-0.2906238326484871,,,285,-0.19491525423728814,0,-1,,,,,497,-0.06754221388367732,57,-0.4864864864864865
,7월,1135843,-0.125,237947,-0.06406302854850256,327184,-0.2706553722692822,32443,-0.018217582085035558,80120,-0.12485936800253411,57903,-0.07638933197218145,78498,0.029,18310,0.14825034491408506,22828,0.28869820480975505,39614,-0.14112265030462023,27512,0.2869906909295037,27698,-0.10789744911105385,19470,-0.11346871869592934,,,11274,,20749,-0.018774236262177224,,,985,-0.24405218726016886,1756,-0.0999487442337263,,,453,-0.006578947368421052,0,-1,,,,,1274,-0.010101010101010055,89,-0.518918918918919
,8월,1163809,-0.111,248154,-0.08557468024187753,341625,-0.2905249647988237,49786,0.26139501887557315,85350,-0.11188112630330274,52803,-0.03362005856515371,88001,-0.009,22410,0.20173745173745172,30415,0.34104938271604945,42338,-0.07780439991287302,27473,0.24211049823673036,32355,0.1279414328046017,21816,0.0034497033255140863,,,10524,,,,,,1093,0.06013579049466533,1974,-0.31315240083507306,,,339,-0.0423728813559322,0,-,,,,,871,-0.12812812812812813,101,1.7297297297297298
,9월,818747,-0.194,159523,-0.20748089782697257,273132,-0.2437263778709972,30417,-0.18358966100330143,38211,-0.46074598851239784,36965,-0.1415666148022573,55338,-0.168,16448,-0.06999886916204912,16774,-0.021410652820722298,25914,-0.14376342309598544,18617,0.3063644656515332,23347,-0.009293049308325554,14699,-0.03365985142331207,,,7923,,,,,,706,-0.09948979591836737,2483,1.1405172413793103,,,216,-0.30097087378640774,0,-,,,,,526,-0.39747995418098514,37,-0.3620689655172413
,10월,932716,-0.135,188804,-0.15234559143743517,334680,-0.19233943559324487,33898,0.08283021881488573,59713,-0.22624493022170966,45007,-0.09440833819593952,66823,0.026,17392,0.1233690737630797,19889,0.18218021873514023,30930,-0.07348051403408917,19257,0.42160047246419596,29941,0.04258653109548019,18457,-0.08804782845002224,,,8990,,14254,-0.34170784648778463,,,816,0.6484848484848484,3000,0.358695652173913,,,414,0.12195121951219512,0,-1,,,,,1074,0.2444959443800696,95,0.3970588235294117
,11월,707012,-0.3408,117518,-0.46213064333052617,238319,-0.3718231228682436,24360,-0.36696031807905205,54854,-0.4321355735685373,44441,-0.30547915234106393,56108,0.023,14219,-0.3261137440758294,15028,-0.266067591326431,24445,-0.44398953713180944,17323,-0.38880852415058387,26879,-0.1657407120022347,16553,-0.2873073279944889,,,7033,,,,,,853,0.18472222222222223,2700,0.15187713310580206,,,301,-0.4691358024691358,0,-1,,,,,827,-0.15526046986721143,73,0.48979591836734704
,12월,667564,-0.3829,108002,-0.4829793243430847,217975,-0.3912758144016086,32727,-0.24699737701900515,33193,-0.6864117752647639,51794,-0.2259385461501674,58839,-0.414,12205,-0.46840019164597757,16360,-0.42881083723203683,22308,-0.43809979597491244,18666,0.16786585747356564,24272,-0.158,15084,-0.46341289886521286,,,4891,,,,,,872,-0.36070381231671556,1200,0.037165082108902334,,,258,-0.44516129032258067,0,-,,,,,950,-0.09523809523809523,146,0.21666666666666656
